Code,Name
021092,"De balene, delfini și marsuini (mamifere din ordinul Cetacee); de lamantini și dugongi (mamifere din ordinul Sirenia); de foci, lei de mare și morse (mamifere din subordinul Pinnipedia)"
021093,De reptile (inclusiv șerpi și broaște țestoase de mare)
021099,Altele
02109910,"De cal, sărată, în saramură sau uscată"
02109921,Nedezosată
0210992110,Congelate
0210992190,Altele
02109929,Dezosată
0210992910,Congelate
0210992990,Altele
02109931,De ren
02109939,Altele
0210993910,Carne de pasăre sărată sau în saramură de la pozitiile 0207
0210993990,Altele
02109941,Ficat
02109949,Altele
02109951,Mușchii pilieri diafragmatici și diafragma
0210995110,de bizon
0210995190,Altele
02109959,Altele
0210995910,de bizon
0210995990,Altele
02109971,"Ficat gras de gâscă sau de rață, sărat sau în saramură"
02109979,Altele
02109985,Altele
0210998510,Din specia ovine și caprine
0210998590,Altele
02109990,"Făină și pudră, comestibile, de carne sau de organe"
0210999010,Din animale domestice din specia porcină sau bovină
0210999090,Altele
0301,Pești vii
030111,De apă dulce
030119,Altele
030191,"Păstrăvi (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache și Oncorhynchus chrysogaster)"
03019110,Din specia Oncorhynchus apache sau Oncorhynchus chrysogaster
